TIPOLOGIA,N DAS UNIDADES,TERRAÇO,TIPO,QUANTIDADE,CAPACIDADE (previsão),ÁREA ÚTIL (m²),ÁREA DA UNIDADE (m²)
A,"101, 102, 103, 104, 105, 106, 107, 201, 202, 203, 204, 205, 206, 207, 301, 302, 303, 304, 305, 306, 307, 401, 402, 403, 404, 405, 406, 501, 502, 503, 504, 505, 506, 601, 602, 603, 604, 605, 606, 701, 702, 703, 704, 705, 706, 801, 802, 803, 804, 805, 806, 901, 902, 903, 904, 905, 906, 1001, 1002, 1003, 1004, 1005, 1006, 1101, 1102, 1103, 1104, 1105, 1106, 1201, 1202, 1203, 1204, 1205",Sem,Padrão,74,2,16.84–17.29,16.84–17.29
B,"109, 209, 309, 508, 608, 708, 808, 908, 1008, 1108",Sem,Padrão,10,3,18.16,18.16
C,"108, 208, 308, 507, 607, 707, 807, 907, 1007, 1107",Sem,Padrão,10,5,23.46,23.46
D,408,Sacada,Padrão,1,3,18.16,27.41
E,407,Sacada,Padrão,1,5,23.46,31.37

Total de Tipologias,5
Total de Unidades,96
