TIPOLOGIA,N DAS UNIDADES,TERRAÇO,TIPO,QUANTIDADE,CAPACIDADE (previsão),ÁREA ÚTIL (m²),ÁREA DA UNIDADE (m²)
A,"201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 401, 402, 403, 404, 405, 406, 407, 408",Sem sacada,Padrão,40,2,14.86–15.37,14.86–15.37
B,"101, 102, 103, 107, 108, 109, 110, 111, 112, 113",Garden,Padrão,10,2,14.86–15.37,14.86–15.37
C,"104, 105",Garden,PCD,2,4,22.91,22.91
D,106,Garden,Padrão,1,4,19.20,19.20

Total de Tipologias,4,,,Total de Unidades,53,,
